TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,4,2,16,10,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,4,6,17,35,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,4,18,14,3,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,4,24,10,53,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,5,5,13,0,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,5,22,16,34,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,6,17,11,16,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,7,12,17,16,7XX GRANVILLE ST,Central Business District,491295.2384,5458744.7745
Other Theft,2026,5,16,12,10,7XX GRANVILLE ST,Central Business District,491299.8329,5458749.3966
Other Theft,2026,7,5,15,46,7XX GRANVILLE ST,Central Business District,491335.6886,5458785.4716
Other Theft,2026,2,10,12,40,7XX GRANVILLE ST,Central Business District,491342.0807,5458791.9023
Other Theft,2026,2,28,11,0,7XX GRANVILLE ST,Central Business District,491371.9005,5458834.8757
Other Theft,2026,4,21,14,15,7XX GRANVILLE ST,Central Business District,491371.9005,5458834.8757
Other Theft,2026,4,24,18,30,7XX GRANVILLE ST,Central Business District,491373.1489,5458836.1313
Other Theft,2026,1,8,18,0,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,1,9,15,29,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,2,23,13,35,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,3,22,13,25,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,5,5,12,44,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,5,24,15,50,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,6,3,17,20,7XX DUNSMUIR ST,Central Business District,491512.5072,5459022.8055
Other Theft,2026,4,8,17,10,7XX DUNSMUIR ST,Central Business District,491531.2005,5458991.1556
Other Theft,2026,2,27,14,5,7XX E 19TH AVE,Kensington-Cedar Cottage,493470.355,5455660.7418
Other Theft,2026,1,2,23,0,7XX E 21ST AVE,Kensington-Cedar Cottage,493464.4862,5455466.6965
Other Theft,2026,1,22,15,25,7XX E 26TH AVE,Kensington-Cedar Cottage,493476.8737,5454989.1135
Other Theft,2026,7,22,12,49,7XX E 32ND AVE,Kensington-Cedar Cottage,493426.262,5454326.5545
Other Theft,2026,1,1,14,46,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,4,13,27,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,7,11,28,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,12,15,50,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,13,16,29,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,15,15,46,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,16,17,2,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,17,14,57,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,30,17,23,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,1,18,42,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,12,8,24,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,12,13,27,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,21,16,50,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,22,12,40,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,2,22,14,32,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,5,9,16,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,5,17,12,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,5,19,45,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,13,15,17,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,14,12,20,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,14,17,38,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,19,8,20,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,22,19,0,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,23,14,56,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,23,17,27,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,24,15,34,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,3,30,10,54,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,4,3,17,5,7XX GRANVILLE ST,Central Business District,491396.0641,5458846.2153
Other Theft,2026,1,13,14,27,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,1,26,10,46,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,2,6,18,0,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,2,13,16,56,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
Other Theft,2026,3,26,14,25,7XX GRANVILLE ST,Central Business District,491292.7916,5458742.3123
